Tiktoker,influencer name,Subscribers count,Views avg.,Likes avg,Comments avg.,Shares avg,Month
___nicoichi___,NICOã€å¹³æˆãƒ•ãƒ©ãƒŸãƒ³ã‚´ã€‘,1.3M,1.9M,225.3K,1.7K,1.1K,June
_.anime.edits_0,video,97K,1.7M,75.6K,1.5K,8.7K,June
_.respect.boss._,Respect compilation ðŸ¤ðŸ¥¶,1.5M,4.4M,241.9K,249,797,June
_.the.meme.hub._,RANDOM MEMES,2.3M,3.8M,787.7K,2.9K,9K,June
_andrewcurtiss,Andrew Curtis,2.5M,1.4M,300.4K,5.8K,4K,June
_emil_official,EMÄ°Lâ¤ï¸,600.9K,2.5M,61.9K,1.2K,9.5K,June
_ikyikyyy,ikyikyyy,3.1M,1.5M,185.3K,1.5K,1.6K,June
_jennifernierva,Jennifer Nierva,1M,2.4M,321.1K,1.9K,1K,June
_mister_z,Marco Zedda,4.9M,2.3M,407.3K,3.2K,3K,June
_nch04,ðð ð®ð²ðžÌ‚Ìƒð§ ð‡ðšÌ‰ð¢,4.9M,3.9M,235.3K,1.3K,1.2K,June
_space.draws_,Space Draws,2.6M,2M,227.1K,1.6K,817,June
_subtitulos_,KUWTK,92.8K,3.4M,432.7K,960,690,June
_surya_editz_,ðŸ˜ˆ,551.2K,3.5M,330.6K,1.1K,2.1K,June
_xochitl.gomez,XÃ³chitl GÃ³mez,4.4M,6.1M,1.1M,9,3.4K,June
_xsyalisx_,Nya uwu xd,144.3K,1.8M,347.5K,2.4K,2.7K,June
.jmwalton,ð™… âš¡ï¸,1.2M,3.4M,667K,15.3K,5.6K,June
1642l4,Ø¹Ø·ÙˆÙŠ Ø®Ø§Ù†ØªÙ‡ Ø³ÙˆØ¯ Ø§Ù„Ù„ÙŠØ§Ù„ÙŠ,15K,1.3M,64.2K,2.8K,13.6K,June
1asos,Ø§Ø³Ø±Ø§Ø¡ ÙØ±Ø¬,3.5M,2.5M,174.3K,1.2K,1.4K,June
230.s,Ù†ØµØ§Ø¦Ø­ ÙˆØ§Ø®Ø¨Ø§Ø± ÙÙŠÙØ§.,13.6K,2.2M,159.2K,1.5K,1.3K,June
42psy42,PSY,3.9M,2.5M,417.8K,2.2K,1.2K,June
4q2y,Ø¯Ù†ÙˆÙˆ,1.5M,1.7M,140.2K,3.6K,1.2K,June
7uss.n,Ø­Ø³ÙŠÙ† Ø§Ù„Ø­Ø±ÙŠØ¨ÙŠðŸŒ»,1.5M,2.2M,225.5K,2.2K,2.5K,June
aachoyy,chaa Ëšâ—žâ™¡,494.9K,2.4M,356.2K,2.4K,519,June
abba,ABBA,2.5M,10.1M,2M,7.6K,8K,June
abbieherbert,AbbieHerbert,13.2M,4.2M,557K,1.4K,959,June
abir.sag,Abir e sag,12.7M,3.9M,302.8K,2.1K,2.1K,June
aboody_kareem,Ø¹Ø¨ÙˆØ¯ÙŠ ÙƒØ±ÙŠÙ…,7.2M,1.5M,167.7K,2.6K,1.5K,June
actressbecc,Becca Bastos,1.4M,745.2K,207.4K,1.5K,3.7K,June
actually.average,Reed,1.2M,1.1M,320.9K,4K,3K,June
adammilardovicc,Adammilardovic,8.1M,2.2M,184.8K,1.6K,943,June
adamsilvera,Adam Silvera,93.7K,2.2M,616.3K,6K,4.6K,June
addisonre,Addison Rae,88M,7.5M,704.3K,4.3K,2K,June
adi.syahreza,Adi Syahreza,7M,2.2M,278.7K,1.9K,1.8K,June
adrianbliss,Adrian Bliss,6M,3M,479K,1.5K,4.8K,June
adrilatinatv,adrilatinatv,25.6M,3.1M,243.4K,1.5K,190,June
aemilst,ems,1.3M,1.5M,224.3K,2K,3.4K,June
aerilzafrel8,aerilzafrel,1.9M,2.3M,216.8K,4.7K,1.8K,June
aespa_official,aespa official,5M,9.5M,2.2M,33.9K,29.2K,June
aichangemoy_,YT : AiChan TV,8.4M,2.7M,250.5K,3.2K,2.6K,June
aiki_kr,ì•„ì´í‚¤ Aiki,2.1M,1.9M,361.4K,1.7K,1.3K,June
ailaughatmyownjokes,"it's a me, Silvia :)",1.9M,1.4M,340.4K,1.4K,4.3K,June
ajkhiphop,kelil,36.5K,4.6M,670.6K,686,355,June
akamztwenty20,Akamz,20.4M,3.8M,410.5K,1.3K,1.7K,June
akgunnice,GÃ–ZDE AKGÃœN,2.4M,4.6M,143K,1.3K,436,June
akramadinas,AK,3.9M,1.6M,374.6K,3.1K,1.2K,June
albert_cancook,albert_cancook,6.7M,6.2M,524.9K,1.9K,2.1K,June
albertinasacaca,Albertina sacaca1,1.5M,4M,464.4K,2.4K,787,June
albertinasacaca1,Albertina Sacaca Cal,4.8M,2.5M,226.1K,2.5K,575,June
alejandrodelcarpio96,Alejandro del Carpio,148.6K,2.5M,233.8K,1.5K,255,June
alex_abt,AlexAbt,109K,2.3M,371.5K,592,307,June
alexbatistao,Alex ramos22,3.2K,951.7K,46.6K,1.7K,19.4K,June
alexitoxedits,ALEX <3,2.8M,966K,276.7K,2.5K,3.3K,June
alexwaarren,Alex warren,15.3M,2.7M,643.7K,635,417,June
alezha.obukhov,ÐÐ»ÐµÐ¶Ð° ÐžÐ±ÑƒÑ…Ð¾Ð²,681.2K,2.2M,251.1K,697,1.2K,June
alfaanm,alfan,101.1K,647.2K,45.7K,1K,35.7K,June
ali.samir11,Ø¹Ù„ÙŠ Ø³Ù…ÙŠØ±,2.5M,1.7M,215.7K,6.7K,982,June
aliciasaavedra_,@aliciastylish,353.1K,4.9M,113.8K,1.3K,25.8K,June
alliep.andrews2nd,allieandrews,31.4K,3.1M,432.6K,1.4K,750,June
alrslani20,Ø§Ù„Ù…Ù†Ø´Ø¯/Ù…Ø§Ø¬Ø¯ Ø§Ù„Ø±Ø³Ù„Ø§Ù†ÙŠ,499.8K,2.3M,100.2K,2.1K,4.7K,June
alteregofanbase7,ð˜¼ð™‡ð™ð™€ð™ð™ƒð™Šð™‡ð™„ð˜¾,178.7K,2.6M,267.3K,560,654,June
alxjames,Alx James,2.1M,1.7M,278.5K,1.9K,9.7K,June
amauryguichon,Amaury Guichon,11.2M,17M,1.4M,10.7K,15.2K,June
amrmaskoun,Amrmaskoun,967K,2M,169.9K,2.1K,1.8K,June
ana_eusse,Ana Maria,11.7M,2.4M,343.6K,1K,166,June
analisseworld,Analisseworld,10.3M,2.3M,418.7K,926,1K,June
anaraquelhz,Raquel,4M,1.6M,185.9K,1.4K,6.8K,June
anas_elshayib,Ø§Ù†Ø³ Ø§Ù„Ø´Ø§ÙŠØ¨,3.9M,3.1M,182.1K,4.6K,1.9K,June
andcarli,Anderson Carli,8.1M,7M,236.5K,1.3K,589,June
andremastijan,andre,723.7K,5.2M,360K,2.7K,12.5K,June
andy.and.michelle,Andy & Michelle,4.4M,2.8M,399.9K,1.8K,4.6K,June
anitta,Anitta,20M,2.4M,256.8K,945,380,June
anna..paull,Anna Paul,4.4M,3.1M,731.7K,2.1K,474,June
annajobling,anna jobling,477K,4.1M,482.7K,4.5K,2K,June
annaxsitar,anna x,11.9M,3.1M,454.2K,741,424,June
apollolikesblu,Apollolol,3K,702.3K,124.5K,9.5K,2.1K,June
areyoukiddingtv,Joey and Steven,4.8M,4.1M,648.8K,2.5K,316,June
arfaytb,ARFAYTB,372.7K,894.1K,108.7K,456,7.6K,June
argentinidadnovelera,zoe,91.8K,1.8M,160.5K,953,10.8K,June
arigameplays,AriGameplays,21.5M,4.9M,559K,2.7K,2.3K,June
artbydemarcusshawn,DemarcusShawn,6.1M,1.8M,273.8K,2.7K,2.8K,June
ashmonterooo,ash,8.9K,2.6M,437.2K,6.6K,15.4K,June
aubreyandersonemmons,Heyyyy,1.1M,1.8M,320.8K,2K,1.8K,June
augustogimenez,AugustoGimenez,12.5M,4.4M,562.8K,1.2K,538,June
aureliehermansyahatta,Aurelie Hermansyah,7.4M,1.9M,190.1K,1.4K,1.3K,June
aurikatariina,á´€á´œÊ€Éª âœ¨,7.4M,8.9M,1M,4K,3.7K,June
aussiesdoingthings,Aussies Doing Things,2.7M,1.2M,170K,602,3.6K,June
aussiesdoingthings,Aussies Doing Things,2.7M,1.2M,170K,602,3.6K,June
austenalexander,Austen Alexander,321.4K,1.3M,125.7K,1.1K,5.2K,June
avanireyes,Avani ðŸ‘½,5.1M,3.5M,283.6K,1.9K,542,June
awildani13,NgebisOnline,77.2K,3.7M,498.4K,5.9K,4.4K,June
ayaatanjali_,AyaðŸ˜,5.9M,1.6M,303.1K,1.2K,780,June
ayanakamachi,ä¸­ç”ºç¶¾,1.4M,3.2M,206.5K,1K,1.8K,June
aybukeyim,AybÃ¼ke,1.2M,3.1M,162.7K,2.1K,500,June
aydenmekus,AYDEN MEKUS,10.5M,3.6M,275.4K,8.6K,1.3K,June
ayesebastien,Sebastien,7.2M,2M,396.5K,2.1K,1.8K,June
aylin.criss,Aylin,17.3M,2.6M,385.7K,2.1K,355,June
badbunny,Bad Bunny,22.2M,48.9M,9M,58.4K,96.7K,June
baimwong,Baim Wong,8.5M,2.1M,130.6K,2K,1.9K,June
bankkamo46_,bankkamo46_ðŸ¦–,1.3M,1.5M,204.7K,1.1K,3K,June
bara_ze,BARA Ze,2.5M,1.8M,118.8K,4.3K,2.4K,June
barbaracoura,BÃ¡rbara Coura,8.8M,1.5M,239.7K,1.4K,816,June
basementgang,Basement Gang,5.4M,2.9M,256.2K,1.9K,2.7K,June
bavariamedic,bavaria.medic,489.7K,7.1M,553.6K,1.6K,3.4K,June
bayashi.tiktok,ãƒãƒ¤ã‚·ðŸ¥‘Bayashi,28.4M,6.2M,713.1K,3.6K,2K,June
baylenlevine,Baylen Levine,4.2M,1.2M,190.3K,2.9K,903,June
bdylanhollis,B. Dylan Hollis,8.6M,3.5M,792.8K,4.1K,10.4K,June
bear,blackbear,1.2M,2.8M,284.4K,1.1K,371,June
beberexha,BebeRexha,7.3M,2M,278K,3.7K,1.8K,June
bebopandbebe,BebopandBebe,750.4K,3.3M,127.2K,7.6K,354,June
beca,Rebeca Barreto,23M,1.7M,219.8K,2.2K,1.5K,June
bellafoodie,Julie & Bella,4.2M,2.3M,271.8K,709,778,June
bellapoarch,Bella Poarch,90.2M,6.8M,921.9K,9.5K,1.2K,June
bellaretamosa,bella,5.4M,2.3M,394.3K,1.1K,709,June
ben_brainard,Benjamin Brainard,2.6M,1.3M,296.9K,1.2K,1.1K,June
benjikrol,Benji Krol,31.1M,1.6M,234.7K,1.8K,348,June
berusahalucu,Berusaha Lucu,694K,3.9M,239.8K,954,940,June
bessan_esmail,Ø¨ÙŠØ³Ø§Ù† Ø§Ø³Ù…Ø§Ø¹ÙŠÙ„ - Bessan Ismail,10.4M,2.5M,175.7K,2.6K,1.3K,June
bhaviboi,bhaviboi,279.7K,3.4M,346.9K,677,791,June
bi_131_bi,B.I,1.4M,1.1M,232.1K,2K,1.3K,June
bibidong07,nhá»‡nðŸ•·ï¸ðŸ•¸ï¸(tÃ­ch xanh lÃ¡ trá»i),5.7K,1.9M,149.8K,6.6K,3.9K,June
biggieclean,Biggie Clean,4.8M,3.7M,364.5K,1.4K,456,June
bilal.hd91,Bilal Haddad | Ø¨Ù„Ø§Ù„ Ø§Ù„Ø­Ø¯Ù‘Ø§Ø¯,2.1M,1.5M,175.1K,3.1K,1.2K,June
bilalahy,Bilal,2M,1.1M,224.5K,1.3K,2.1K,June
billlnai,nai,8.5M,1.7M,403.7K,958,912,June
blacchyna,blacchyna,1.1M,1.7M,174.2K,3.7K,1.1K,June
blacksels,seul,59.1K,620.8K,208.8K,1.8K,5.4K,June
blakeb628,Blake,568.4K,1.3M,161.3K,1.1K,10.3K,June
blondebrunetteredhead,Lamila Petschart,12M,14.2M,2.6M,9.8K,7.5K,June
boberrybiscuits2,ðŸ¤¾ðŸ¼,59.8K,1.5M,309.9K,1.9K,7.5K,June
booboothafoocloset,Boo Boo,1.4M,1.2M,314.5K,673,1.3K,June
borhen.kachbouri,borhen kachbouri,204.1K,3.6M,331.2K,926,604,June
botakteras,Mike,2.8M,2.4M,207.1K,1.7K,529,June
boywithuke,boywithuke,4.9M,1.7M,209.3K,2.2K,691,June
brandonrogers,Brandon Rogers,1.5M,2.7M,497K,1.7K,4.7K,June
brandonspam_,Brandon Conner,8M,1.9M,380.2K,2.1K,348,June
brentrivera,Brent Rivera,43.9M,2.9M,540.2K,2.2K,321,June
bretmanrock,bretmanrock,14.2M,3.2M,617.2K,1.7K,1.4K,June
bricks.and.disorder,Ola ðŸ¤œðŸ¾âš¡ï¸ðŸ¤›ðŸ» Cullen,755.3K,2.5M,448.1K,1.2K,666,June
briggi_bozzo,Briggitte Bozzo,22M,3.6M,335K,388,571,June
brilionaire,model kentangðŸŸ,3.9M,4.1M,369.6K,2.1K,7K,June
brittany_broski,Brittany,7M,1.3M,236.7K,1.2K,1.4K,June
brittikitty,Brittany & Lily,12.6M,3.7M,550.9K,2.1K,2K,June
brodywellmaker,Brody Wellmaker,21.1M,6.3M,853K,6.1K,16.4K,June
brookemonk_,Brooke Monk,20.3M,2.7M,466.9K,2.2K,1.2K,June
brunabarbieoficial,Bruna Barbie,18.4M,2.6M,168.8K,12K,1.9K,June
bstchld,BeastChild,4.4M,2.8M,362.7K,3.1K,5.2K,June
bukanstreet,Bukanstreet,1M,1.3M,171.5K,2.4K,1.5K,June
burnaboyofficial,Burna Boy,972.8K,1.3M,164.5K,1.8K,2.4K,June
c4tluvr666,kennedy,2.4M,2.7M,558.5K,1.4K,1.5K,June
cakelegend,Â¡Aliya!,1.3M,3.5M,900.6K,14.6K,1.1K,June
caleb.green,Caleb Green,2.9M,3.1M,256.4K,897,329,June
camimendes,camila mendes,2.6M,6.2M,971.2K,2.8K,777,June
canalzezao,ZezÃ£o,5.9M,1.9M,105K,1.1K,6K,June
caocuongvu,caocuongvu,3.7M,3.4M,395.4K,2.2K,797,June
captain.cream,CAPTAIN CREAM,4.2M,2.8M,345.5K,3.2K,4.2K,June
carebearkieran,Kieran,469.1K,1.6M,354.4K,1.2K,2K,June
carlcunard,Carl Cunard,3M,5M,158.3K,1.3K,3.1K,June
carloandsarah,,3.7M,2.7M,240.6K,886,2.3K,June
carloscastroes,Carlos Castro,12M,1.6M,152.3K,400,3.1K,June
carloscastroes,Carlos Castro,12M,1.6M,152.3K,400,3.1K,June
carlosferiag,Carlos Feria,39.2M,3.3M,251.9K,2.2K,203,June
carolcastromx,Carol Castro,11.3M,3.1M,440.7K,1.5K,367,June
carolinarinconf,carolina,5.5M,5.9M,654.1K,3.2K,2.9K,June
carolvillanes,Carol Villanes,5.5M,1.9M,336.4K,6.6K,322,June
cassholland,Cassie Holland,1.7M,2.4M,390.2K,1.4K,943,June
cavalo.do_rock,daniel molo oficial,154.4K,1.4M,258.5K,7K,17.7K,June
cbum,Chris Bumstead,2.6M,1.6M,215.8K,1.1K,2.7K,June
cciinnn,CiiN,6.6M,2.6M,296.4K,1.7K,588,June
cdiasss_,Carol Dias,2.5M,1.9M,497.4K,2.3K,977,June
cecia.loaiza,Cecia Loaiza âœ¨,6.2M,1.9M,277.7K,2K,388,June
cedriklorenzen,Cedrik Lorenzen,2.5M,3M,301.1K,4.3K,8.1K,June
cellat36,cellat36,8.5M,1.9M,171.4K,5.4K,1.6K,June
cemresolmaz,cemre solmaz,10.3M,2.4M,164.3K,6.4K,1.6K,June
cerenyaldz,Ceren YaldÄ±z,9.3M,1.1M,97.7K,7.9K,1.5K,June
cerolzera,CEROL,4.1M,1.7M,180.4K,2.7K,1.3K,June
cesarpantoja.n,Cesar Pantoja,13.2M,3M,489.1K,1.3K,311,June
cha.momilie,Roma,1.2M,2M,282.1K,2K,1.1K,June
championsleague,Champions League,14.9M,3.8M,551.9K,3.4K,2.3K,June
chamrent,chamrent,2.1M,3.7M,370.9K,1.7K,1.3K,June
chanelterrero,Chanel Terrero,404.7K,2.3M,257K,1.5K,387,June
chang._.a,ì°½í•˜CHANGHA,22M,1.4M,286.2K,3.6K,1.9K,June
charlidamelio,charli dâ€™amelio,142M,16.4M,1.8M,27.3K,9.5K,June
charlieputh,Charlie Puth,17.2M,1.9M,234.6K,2.6K,772,June
charlymarieofc,CharlyMarieofc,966K,1.3M,103.1K,1.5K,5.4K,June
charlyokei,Charlyokei,4.1M,3.6M,343.5K,824,1.1K,June
chedurena,Che Durena,6.8M,2M,231.5K,1.7K,6.8K,June
cheekykiddo,alexðŸ¤,4.1M,2.2M,231.8K,489,1.6K,June
chicken_nugget_.0,ChickenNugget,862.7K,1.6M,240.6K,1.9K,2.8K,June
chiefilomeno,C  H  I  E,2.8M,2.4M,179.1K,1.5K,596,June
